Season,#,Team,Yards/G,Rush/G,Rush/P,Pass/G,QBR,Sacks,3rd%,Poss/G,Pts/G
2021,1, Dallas,407,124.6,4.5,282.4,104.8,33,43.4,30:40:00,31.2
2021,2, Tampa Bay,405.9,98.4,4.3,307.6,101.6,23,47.1,30:28:00,30.1
2021,3, Kansas City,396.8,115,4.5,281.8,98.1,28,52.2,30:57:00,28.2
2021,4, L.A. Chargers,390.2,107.9,4.3,282.4,97.4,31,45.2,29:30:00,27.9
2021,5, Buffalo,381.9,129.9,4.8,252,91.3,27,46.4,31:42:00,28.4
2021,6, Baltimore,378.8,145.8,4.8,233,84.4,57,36.4,33:16:00,22.8
2021,7, San Francisco,375.7,127.4,4.3,248.3,99.2,33,40.2,31:09:00,25.1
2021,8, Arizona,373.6,122.1,4.2,251.5,100.6,39,45.2,31:15:00,26.4
2021,9, L.A. Rams,372.1,99,4,273.1,101.6,31,43.9,29:03:00,27.1
2021,10, Green Bay,365.6,111.8,4.3,253.8,107.4,33,43.6,32:58:00,26.5
2021,11, Las Vegas,363.8,95.1,3.9,268.6,93.8,40,37.4,31:00:00,22
2021,12, Minnesota,362.8,113.5,4.3,249.3,101.6,30,36.4,29:37:00,25
2021,13, Cincinnati,361.5,102.5,4,259,106.9,55,39.6,31:26:00,27.1
2021,14, Philadelphia,359.9,159.7,4.9,200.2,89.2,31,45.7,29:55:00,26.1
2021,15, New England,353.4,126.5,4.4,226.9,95.5,28,43.5,30:38:00,27.2
2021,16, Indianapolis,347.1,149.4,5.1,197.7,93.5,32,41,32:03:00,26.5
2021,17, Tennessee,342.5,141.4,4.4,201.1,90,47,43.6,33:20:00,24.6
2021,18, Cleveland,340.6,145.4,5.1,195.3,84.6,49,39.2,30:48:00,20.5
2021,19, Denver,330.5,119.1,4.5,211.4,91.7,40,38.5,30:48:00,19.7
2021,20, Seattle,323.9,122,5,201.9,103.1,46,37.3,25:33:00,23.2
2021,21, Washington,323.6,121.2,4.3,202.4,85.8,43,38.8,30:43:00,19.7
2021,22, Detroit,322.6,110.9,4.4,211.6,88.1,36,34.7,29:12:00,19.1
2021,23, Pittsburgh,315.4,93.1,3.9,222.2,85.3,38,38.9,30:00:00,20.2
2021,24, Chicago,307.4,118.7,4.2,188.6,75.5,58,34.7,30:19:00,18.3
2021,25, Miami,307,92.2,3.5,214.8,85.4,40,40.8,30:30:00,20.1
2021,26, N.Y. Jets,306.4,98.1,4.4,208.3,76,53,36.3,27:50:00,18.2
2021,27, Jacksonville,305.4,103.2,4.5,202.1,72.1,32,35.8,27:21:00,14.9
2021,28, New Orleans,304.5,117.1,3.9,187.4,87.4,37,35.5,30:37:00,21.4
2021,29, Atlanta,303.8,85.4,3.7,218.4,86.6,40,38.9,28:09:00,18.4
2021,30, Carolina,298.9,108.4,4,190.5,68.5,52,35.7,30:43:00,17.9
2021,31, N.Y. Giants,287.3,99.3,4,188,70.1,38,36.5,28:42:00,15.2
2021,32, Houston,278.1,83.6,3.4,194.4,85.2,44,39.7,28:14:00,16.5
2020,1, Kansas City,415.8,112.4,4.5,303.4,107.3,24,49,30:31:00,29.6
2020,2, Buffalo,396.4,107.7,4.2,288.8,107.6,27,49.7,31:45:00,31.3
2020,3, Tennessee,396.4,168.1,5.2,228.3,105.9,25,46.2,28:42:00,30.7
2020,4, Minnesota,393.2,142.7,4.9,250.6,105,39,40.9,30:02:00,26.9
2020,5, Green Bay,389,132.4,4.8,256.6,121.5,21,49.4,32:34:00,31.8
2020,6, Arizona,384.6,139.8,4.7,244.8,94.1,29,39.6,29:03:00,25.6
2020,7, Tampa Bay,384.1,94.9,4.1,289.1,102.8,22,43.5,28:54:00,30.8
2020,8, Las Vegas,383.3,119.8,4.2,263.6,100.4,28,46,31:04:00,27.1
2020,9, L.A. Chargers,382.1,111.5,3.8,270.6,97,34,44.2,31:57:00,24
2020,10, Indianapolis,378.1,124.8,4.3,253.3,95.9,21,39.6,31:06:00,28.2
2020,11, L.A. Rams,377,126.1,4.3,250.9,88.4,25,43.4,32:01:00,23.2
2020,12, New Orleans,376.4,141.6,4.6,234.9,104.1,29,44.7,32:10:00,30.1
2020,13, Houston,375.2,91.6,4.3,283.6,112.3,50,43,27:18:00,24
2020,14, Dallas,371.8,111.8,4.2,260.1,89.9,44,40.5,28:21:00,24.7
2020,15, San Francisco,370.1,118.1,4.3,252.1,90.1,39,39.1,31:23:00,23.5
2020,16, Cleveland,369.6,148.4,4.8,221.2,96.6,26,44.9,30:54:00,25.5
2020,17, Seattle,369.5,123.2,4.8,246.3,105,48,40.2,30:07:00,28.7
2020,18, Atlanta,368.4,95.8,3.7,272.7,93.9,41,43.9,30:41:00,24.8
2020,19, Baltimore,363.1,191.9,5.5,171.2,95.7,32,48.8,31:30:00,29.2
2020,20, Detroit,350.2,93.7,4.1,256.5,93.3,42,41.1,27:54:00,23.6
2020,21, Carolina,349.5,106.5,4.2,243,87.5,36,39,30:59:00,21.9
2020,22, Miami,339,105.5,3.9,233.5,91.2,34,38.6,31:16:00,25.2
2020,23, Denver,335.6,119.9,4.3,215.7,72.5,32,38.7,28:58:00,20.2
2020,24, Pittsburgh,334.6,84.4,3.6,250.2,93.5,14,42.2,30:48:00,26
2020,25, Philadelphia,334.6,126.7,5,207.9,72.9,65,37.3,29:15:00,20.9
2020,26, Chicago,331.4,102.9,4.2,228.4,86.5,36,34.6,30:28:00,23.2
2020,27, New England,327.2,146.6,4.7,180.6,81.1,37,40.9,28:57:00,20.4
2020,28, Jacksonville,326.1,94.9,4.5,231.2,83.9,44,40.6,27:51:00,19.1
2020,29, Cincinnati,319.8,104.2,4.1,215.5,85.7,48,36.2,31:09:00,19.4
2020,30, Washington,317.2,100.7,4,216.6,80.1,50,39.1,29:54:00,20.9
2020,31, N.Y. Giants,299.6,110.5,4.4,189.1,79.6,50,36.4,28:42:00,17.5
2020,32, N.Y. Jets,279.9,105.2,4.1,174.8,75.9,43,34,27:53:00,15.2
2019,1, Dallas,431.5,134.6,4.8,296.9,99.5,23,47.1,29:32:00,27.1
2019,2, Baltimore,407.6,206,5.5,201.6,109,28,47.1,34:47:00,33.2
2019,3, Tampa Bay,397.9,95.1,3.7,302.8,84.1,47,41.5,30:55:00,28.6
2019,4, San Francisco,381.1,144.1,4.6,237,103.1,36,45,31:37:00,29.9
